UValue,VOpt,CID,EOpt
1,71.6401197,ITEOO-322,-51.18759956
5,133.3710521,ITEOO-323,-88.88242375
2,120.5235919,ITEOO-324,-96.48258688
2.8,73.06544127,ITEOO-325,-48.04960496
1,28.63099998,ITEOO-326,-24.81008852
7,69.13148144,ITEOO-327,-41.54017589
4,74.08381905,ITEOO-328,-46.03969528
4,131.8424931,ITEOO-329,-92.04355173
1,65.21377942,ITEOO-330,-51.08335422
0,126.9387651,ITEOO-331,-105.6750283
2,28.95439456,ITEOO-332,-23.98613324
2.7,72.98281586,ITEOO-333,-48.2200978
6,134.7193945,ITEOO-334,-85.81783095
2.7,66.28597136,ITEOO-335,-48.21291336
8,77.6960755,ITEOO-336,-39.81746188
5,281.4769752,ITEOO-337,-177.7381808
6,75.87064228,ITEOO-338,-42.83660474
2.6,66.22292599,ITEOO-339,-48.37811453
8,69.85492451,ITEOO-340,-40.10696266
2,72.41292834,ITEOO-341,-49.42645868
2,129.2845883,ITEOO-342,-98.65598171
2.9,66.41148951,ITEOO-343,-47.88387725
5,124.1371584,ITEOO-344,-87.15388704
1,109.1524905,ITEOO-345,-99.20809489
0,266.3841107,ITEOO-346,-211.6425554
3,130.5754,ITEOO-347,-95.30056414
4,67.07060669,ITEOO-348,-46.10715341
6,30.31012215,ITEOO-349,-20.8800815
1,127.9984773,ITEOO-350,-102.1147412
2.9,73.14835894,ITEOO-351,-47.87956334
9,70.54615207,ITEOO-352,-38.71588938
7,136.0321618,ITEOO-353,-82.84333387
7,76.72387083,ITEOO-354,-41.30376362
0,70.92645082,ITEOO-355,-52.99128044
2,65.79233971,ITEOO-356,-49.37905419
0,28.30294535,ITEOO-357,-25.65390663
3.1,66.53620037,ITEOO-358,-47.55666346
3.3,66.66012874,ITEOO-359,-47.23127266
3,66.47393288,ITEOO-360,-47.72004256
3,112.7852744,ITEOO-361,-92.17654562
3.4,66.72181895,ITEOO-362,-47.06926032
4,114.6091632,ITEOO-363,-88.81468748
3.4,73.56025802,ITEOO-364,-47.03624886
3.2,73.39537231,ITEOO-365,-47.37223031
2.8,66.34884159,ITEOO-366,-48.04816699
0,64.61853305,ITEOO-367,-52.82915608
4,260.0195528,ITEOO-368,-176.379093
2,255.7052372,ITEOO-369,-190.0388427
5,262.0762907,ITEOO-370,-169.9504237
0,66.05864119,ITEOO-371,-51.32024911
0,118.4807491,ITEOO-372,-102.9108238
2,61.14857108,ITEOO-373,-47.55097806
3,61.59113888,ITEOO-374,-45.91154135
3,257.9709522,ITEOO-375,-183.0644332
6,73.28280309,ITEOO-376,-39.72568563
3,69.51514543,ITEOO-377,-45.52621417
6,264.1420343,ITEOO-378,-163.7660583
2,121.4233815,ITEOO-379,-94.9759731
1,60.30152473,ITEOO-380,-49.41342932
3,122.4497897,ITEOO-381,-91.47312667
5,71.69853456,ITEOO-382,-41.38043381
0,59.80083062,ITEOO-383,-51.49395777
4,123.3128337,ITEOO-384,-88.16389413
2,68.51637573,ITEOO-385,-47.29285011
6,62.92676323,ITEOO-386,-41.27968296
5,62.47775553,ITEOO-387,-42.77658081
5,124.1845306,ITEOO-388,-84.99751316
4,69.10703249,ITEOO-389,-43.09910097
0,248.1455736,ITEOO-390,-205.6926548
4,62.04295383,ITEOO-391,-44.3208756
1,252.1849151,ITEOO-392,-197.4392732
1,66.9200226,ITEOO-393,-49.23712268
6,125.0573861,ITEOO-394,-81.95883919
1,119.9086934,ITEOO-395,-98.78580978
0,115.8603434,ITEOO-396,-88.27644029
4,118.995223,ITEOO-397,-72.39030956
4,63.76603408,ITEOO-398,-36.78801684
0,63.83157419,ITEOO-399,-44.5811014
5,129.4490172,ITEOO-400,-71.03335675
0,126.2434689,ITEOO-401,-88.56047499
6,129.0502022,ITEOO-402,-68.50963254
1,125.8077581,ITEOO-403,-84.36259982
3,64.24661482,ITEOO-404,-38.53375295
1,115.3866969,ITEOO-405,-84.07578344
3,114.578833,ITEOO-406,-75.91051472
2,63.33733211,ITEOO-407,-40.56803606
5,118.7667166,ITEOO-408,-69.29490749
4,129.6839676,ITEOO-409,-73.74617048
2,114.998884,ITEOO-410,-79.9511461
3,129.4044723,ITEOO-411,-76.69823532
2,125.8663261,ITEOO-412,-80.25525373
6,65.21507057,ITEOO-413,-34.11721458
5,65.40244593,ITEOO-414,-35.39478917
1,63.574192,ITEOO-415,-42.54914032
6,118.5290169,ITEOO-416,-66.33151776
4,65.74319323,ITEOO-417,-35.46794375
6,129.9297295,ITEOO-418,-65.06509828
5,130.5283703,ITEOO-419,-67.33671024
2,129.8011188,ITEOO-420,-76.38152851
4,130.6380284,ITEOO-421,-70.0547781
2,65.53193652,ITEOO-422,-38.69892693
2,119.7258156,ITEOO-423,-76.20594514
0,65.81036704,ITEOO-424,-42.27933656
0,130.3786385,ITEOO-425,-83.5274214
5,119.1503025,ITEOO-426,-66.7070344
6,65.24802241,ITEOO-427,-32.9366806
3,119.5034206,ITEOO-428,-72.84402723
1,119.8286989,ITEOO-429,-79.73065396
1,130.0632989,ITEOO-430,-79.89073261
0,120.0599365,ITEOO-431,-83.40121344
3,130.5027909,ITEOO-432,-73.08141711
4,119.3540119,ITEOO-433,-69.65954177
6,118.8733928,ITEOO-434,-64.09504615
1,65.66613063,ITEOO-435,-40.46161578
3,65.72543044,ITEOO-436,-37.00866536
5,65.6582769,ITEOO-437,-34.09372615
0,119.7460193,ITEOO-438,-105.3842059
1,120.6402549,ITEOO-439,-101.7050815
2,121.9614137,ITEOO-440,-98.1267803
3,123.4420715,ITEOO-441,-94.65278276
4,125.0210982,ITEOO-442,-91.28452704
5,126.7369817,ITEOO-443,-88.0225867
6,124.71891,ITEOO-444,-84.8687731
0,429.5990392,ITEOO-445,-361.6974828
1,432.1171623,ITEOO-446,-361.5525929
2,435.3475949,ITEOO-447,-361.4101146
3,438.7975234,ITEOO-448,-361.2703192
4,442.4411219,ITEOO-449,-361.1334963
5,446.3719473,ITEOO-450,-360.9999694
6,450.5996229,ITEOO-451,-360.8700814
0,844.016095,ITEOO-452,-723.3996431
1,847.7312445,ITEOO-453,-723.105903
2,853.091465,ITEOO-454,-722.8171329
3,858.9367294,ITEOO-455,-722.5340107
4,865.551216,ITEOO-456,-722.2572813
5,873.1196402,ITEOO-457,-721.9876756
6,881.6423552,ITEOO-458,-721.7259166
